,name,gender,x2,y2,x1,y1,euclidean_distance,lpx,lpy,x3,y3,x4,y4,image,target
0,C1_S1_I1.txt, Male,219,162,219,369,207.0,219.0,265.5,-29.399999999999977,99.89999999999998,467.4,431.1,C1_S1_I1.jpg,1
1,C1_S1_I2.txt, Male,225,179,227,368,189.01058171435798,226.0,273.5,-0.8126980572295679,122.2915346285136,452.81269805722957,424.7084653714864,C1_S1_I2.jpg,1
2,C1_S1_I3.txt, Male,212,154,224,358,204.35263639111682,218.0,256.0,-27.22316366934018,92.51789088710655,463.2231636693402,419.48210911289345,C1_S1_I3.jpg,1
3,C1_S1_I4.txt, Male,237,176,251,401,225.43513479491168,244.0,288.5,-26.52216175389401,108.15189216407066,514.522161753894,468.84810783592934,C1_S1_I4.jpg,1
4,C1_S1_I5.txt, Male,249,183,256,388,205.11947737842937,252.5,285.5,6.356627145884772,121.4044180972565,498.6433728541152,449.5955819027435,C1_S1_I5.jpg,1
5,C1_S1_I6.txt, Male,233,172,249,399,227.56317804073663,241.0,285.5,-32.07581364888392,103.44945756741069,514.0758136488839,467.5505424325893,C1_S1_I6.jpg,1
6,C1_S1_I7.txt, Male,271,198,285,450,252.38858928247924,278.0,324.0,-24.86630713897506,122.0891285740166,580.8663071389751,525.9108714259834,C1_S1_I7.jpg,1
7,C1_S1_I8.txt, Male,273,216,273,460,244.0,273.0,338.0,-19.80000000000001,142.79999999999998,565.8,533.2,C1_S1_I8.jpg,1
8,C1_S1_I9.txt, Male,265,206,287,470,264.9150807334305,276.0,338.0,-41.89809688011661,126.06793541325558,593.8980968801166,549.9320645867444,C1_S1_I9.jpg,1
9,C1_S1_I10.txt, Male,350,232,373,570,338.7816405887427,361.5,401.0,-45.0379687064912,129.97468752900585,768.0379687064913,672.0253124709941,C1_S1_I10.jpg,1
10,C1_S1_I11.txt, Male,357,256,368,583,327.1849629796577,362.5,419.5,-30.121955575589254,157.75202961627383,755.1219555755893,681.2479703837262,C1_S1_I11.jpg,1
11,C1_S1_I12.txt, Male,350,240,378,572,333.1786307673408,364.0,406.0,-35.81435692080896,139.45709538612738,763.8143569208089,672.5429046138727,C1_S1_I12.jpg,1
12,C1_S1_I13.txt, Male,430,313,446,708,395.32391781929914,438.0,510.5,-36.388701383158946,194.24086574456067,912.388701383159,826.7591342554393,C1_S1_I13.jpg,1
13,C1_S1_I14.txt, Male,433,335,449,725,390.3280671435248,441.0,530.0,-27.393680572229698,217.73754628518014,909.3936805722296,842.2624537148199,C1_S1_I14.jpg,1
14,C1_S1_I15.txt, Male,430,284,449,708,424.42549405048703,439.5,496.0,-69.81059286058439,156.45960475961033,948.8105928605844,835.5403952403897,C1_S1_I15.jpg,1
15,C1_S2_I1.txt, Male,198,189,204,313,124.14507642270796,201.0,251.0,52.025908292750444,151.6839388618336,349.97409170724956,350.3160611381664,C1_S2_I1.jpg,1
16,C1_S2_I2.txt, Male,207,181,209,311,130.01538370516005,208.0,246.0,51.98153955380795,141.98769303587196,364.0184604461921,350.012306964128,C1_S2_I2.jpg,1
17,C1_S2_I3.txt, Male,211,197,212,297,100.00499987500625,211.5,247.0,91.4940001499925,166.996000099995,331.50599985000747,327.003999900005,C1_S2_I3.jpg,1
18,C1_S2_I4.txt, Male,230,208,235,353,145.08618128546908,232.5,280.5,58.39658245743712,164.43105497162475,406.60341754256285,396.56894502837525,C1_S2_I4.jpg,1
19,C1_S2_I5.txt, Male,230,190,237,339,149.164338901763,233.5,264.5,54.502793317884425,145.1685288785896,412.4972066821156,383.8314711214104,C1_S2_I5.jpg,1
20,C1_S2_I6.txt, Male,219,208,233,351,143.68368035375485,226.0,279.5,53.57958357549418,164.5530557169961,398.4204164245058,394.44694428300386,C1_S2_I6.jpg,1
21,C1_S2_I7.txt, Male,261,230,271,410,180.27756377319946,266.0,320.0,49.66692347216065,175.77794898144043,482.33307652783935,464.22205101855957,C1_S2_I7.jpg,1
22,C1_S2_I8.txt, Male,261,224,277,416,192.66551326067673,269.0,320.0,37.80138408718793,165.8675893914586,500.1986159128121,474.13241060854136,C1_S2_I8.jpg,1
23,C1_S2_I9.txt, Male,265,240,283,405,165.97891432347663,274.0,322.5,74.82530281182804,189.7168685412187,473.174697188172,455.2831314587813,C1_S2_I9.jpg,1
